Date,Description,Debit,Credit,Balance
03/01/23,RETIRO 31/12 BNP SUC BO,300.00,,365.11
03/01/23,RETIRO/Cargo Uso otro A,1.00,,364.11
03/01/23,ITBMS/BNP SUC BOQUETE 9,0.07,,364.04
03/01/23,CINEPOLIS CINETIKET FEI,35.75,,328.29
04/01/23,COBRO DE COMISION ACH A,10.00,,318.29
04/01/23,ITBMS Anual ACH 1099100,0.70,,317.59
13/01/23,RETIRO 13/01 BNS SUC DA,55.00,,262.59
13/01/23,RETIRO/Cargo Uso otro A,1.00,,261.59
13/01/23,ITBMS/BNS SUC DAVID 831,0.07,,261.52
13/01/23,RETIRO 13/01 BG SUCBOQU,40.00,,221.52
13/01/23,RETIRO/Cargo Uso otro A,1.00,,220.52
13/01/23,ITBMS/BG SUCBOQUETEMUL,0.07,,220.45
16/01/23,AUTORIDAD DE PASAPORTEV,100.00,,120.45
16/01/23,CAFE KOTOWA - DAVID   V,3.75,,116.70
16/01/23,GOOGLE  PLAY YOUTUBE D0,4.87,,111.83
16/01/23,PRICESMART DAVID      I,11.27,,100.56
26/01/23,RETIRO 26/01 BNS SUC DA,50.00,,50.56
26/01/23,RETIRO/Cargo Uso otro A,1.00,,49.56
26/01/23,ITBMS/BNS SUC DAVID 831,0.07,,49.49
30/01/23,RESTAURANTE           u,29.95,,19.54
30/01/23,PedidosYa - Tips      n,3.00,,16.54
31/01/23,INTERESES,,0.02,16.56
